age,educational-num,race,gender,hours-per-week,income,gender_encoded,income_encoded,race_encoded,marital-status_Divorced,marital-status_Married-AF-spouse,marital-status_Married-civ-spouse,marital-status_Married-spouse-absent,marital-status_Never-married,marital-status_Separated,marital-status_Widowed
25,7,Black,Male,40,<=50K,1,0,0,False,False,False,False,True,False,False
38,9,White,Male,50,<=50K,1,0,1,False,False,True,False,False,False,False
28,12,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
44,10,Black,Male,40,>50K,1,1,0,False,False,True,False,False,False,False
18,10,White,Female,30,<=50K,0,0,1,False,False,False,False,True,False,False
34,6,White,Male,30,<=50K,1,0,1,False,False,False,False,True,False,False
29,9,Black,Male,40,<=50K,1,0,0,False,False,False,False,True,False,False
63,15,White,Male,32,>50K,1,1,1,False,False,True,False,False,False,False
24,10,White,Female,40,<=50K,0,0,1,False,False,False,False,True,False,False
55,4,White,Male,10,<=50K,1,0,1,False,False,True,False,False,False,False
65,9,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
36,13,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
26,9,White,Female,39,<=50K,0,0,1,False,False,False,False,True,False,False
58,9,White,Male,35,<=50K,1,0,1,False,False,True,False,False,False,False
48,9,White,Male,48,>50K,1,1,1,False,False,True,False,False,False,False
43,14,White,Male,50,>50K,1,1,1,False,False,True,False,False,False,False
20,10,White,Male,25,<=50K,1,0,1,False,False,False,False,True,False,False
43,9,White,Female,30,<=50K,0,0,1,False,False,True,False,False,False,False
37,9,White,Female,20,<=50K,0,0,1,False,False,False,False,False,False,True
40,16,Asian-Pac-Islander,Male,45,>50K,1,1,2,False,False,True,False,False,False,False
34,13,White,Male,47,>50K,1,1,1,False,False,True,False,False,False,False
34,10,Black,Female,35,<=50K,0,0,0,False,False,False,False,True,False,False
72,4,White,Female,6,<=50K,0,0,1,True,False,False,False,False,False,False
25,13,White,Male,43,<=50K,1,0,1,False,False,False,False,True,False,False
25,13,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
45,9,White,Male,90,>50K,1,1,1,False,False,True,False,False,False,False
22,9,White,Male,20,<=50K,1,0,1,False,False,False,False,True,False,False
23,9,Black,Male,54,<=50K,1,0,0,False,False,False,False,False,True,False
54,9,White,Male,35,<=50K,1,0,1,False,False,True,False,False,False,False
32,10,White,Male,60,<=50K,1,0,1,False,False,False,False,True,False,False
46,10,Black,Male,38,>50K,1,1,0,False,False,True,False,False,False,False
56,7,White,Female,50,<=50K,0,0,1,False,False,False,False,False,False,True
24,13,White,Male,50,<=50K,1,0,1,False,False,False,False,True,False,False
23,10,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
26,9,White,Female,40,<=50K,0,0,1,True,False,False,False,False,False,False
65,9,White,Male,40,<=50K,1,0,1,False,False,True,False,False,False,False
36,13,White,Male,40,>50K,1,1,1,False,False,True,False,False,False,False
22,3,White,Male,50,<=50K,1,0,1,False,False,False,False,True,False,False
17,6,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
20,9,White,Male,40,<=50K,1,0,1,False,False,False,False,True,False,False
65,14,White,Male,50,>50K,1,1,1,False,False,True,False,False,False,False
