sample_id,feature,lime_weight
137,age > 44.00,-0.06646435864697539
137,priors_count <= 0.00,-0.06520510777058282
137,juv_other_count <= 0.00,-0.06210140300829067
137,decile_score <= 2.00,-0.058537285944717285
137,juv_misd_count <= 0.00,-0.04145382646171569
71,priors_count <= 0.00,-0.06800508456253997
71,juv_misd_count <= 0.00,-0.05865401966663666
71,decile_score <= 2.00,-0.052084096790433666
71,juv_other_count <= 0.00,-0.04598695187655975
71,26.00 < age <= 33.00,0.020747559121720403
172,priors_count > 5.00,0.13474124334170726
172,juv_other_count <= 0.00,-0.05819970689819171
172,juv_misd_count <= 0.00,-0.04447912026390957
172,33.00 < age <= 44.00,-0.030423592706547684
172,2.00 < decile_score <= 4.00,-0.029666574075051983
626,0.00 < priors_count <= 2.00,-0.08053134561367471
626,decile_score <= 2.00,-0.059549246415094736
626,juv_misd_count <= 0.00,-0.05621722719133134
626,juv_other_count <= 0.00,-0.04291601334239747
626,juv_fel_count <= 0.00,-0.025658835800383587
286,0.00 < priors_count <= 2.00,-0.07491858972298417
286,age > 44.00,-0.0688169310555717
286,juv_other_count <= 0.00,-0.06140164789031715
286,decile_score <= 2.00,-0.05934820072750563
286,juv_misd_count <= 0.00,-0.043560565215277874
512,priors_count > 5.00,0.13018321021706541
512,decile_score > 7.00,0.1219518737524634
512,juv_misd_count <= 0.00,-0.053268280632394624
512,juv_other_count <= 0.00,-0.03988170718963235
512,26.00 < age <= 33.00,0.010298562751068422
424,2.00 < priors_count <= 5.00,0.046973892829286455
424,2.00 < decile_score <= 4.00,-0.04381544483809855
424,33.00 < age <= 44.00,-0.04329809135940613
424,juv_other_count > 0.00,0.0430044736748459
424,juv_misd_count <= 0.00,-0.042654756570028284
63,priors_count > 5.00,0.1337518952609843
63,decile_score > 7.00,0.1192157143873165
63,juv_misd_count <= 0.00,-0.05910345090157112
63,juv_other_count <= 0.00,-0.05414289710562361
63,juv_fel_count <= 0.00,-0.01752602747028569
131,decile_score > 7.00,0.1264937797529281
131,priors_count <= 0.00,-0.06009855318319163
131,juv_misd_count <= 0.00,-0.051371438989629696
131,juv_other_count <= 0.00,-0.04833564719591958
131,33.00 < age <= 44.00,-0.0442177178992938
319,0.00 < priors_count <= 2.00,-0.07013231035912373
319,juv_other_count <= 0.00,-0.06570880535032544
319,decile_score <= 2.00,-0.06281964407785849
319,juv_misd_count <= 0.00,-0.03956139128254346
319,race_encoded <= 0.00,0.004189018471129576
285,age <= 26.00,0.10471172037962863
285,0.00 < priors_count <= 2.00,-0.0669415227577817
285,juv_misd_count <= 0.00,-0.06011348028819797
285,juv_other_count <= 0.00,-0.04472121542651242
285,race_encoded <= 0.00,0.008667519283223027
368,decile_score > 7.00,0.1312866255926784
368,age <= 26.00,0.103085205420631
368,0.00 < priors_count <= 2.00,-0.07995654222044206
368,juv_other_count <= 0.00,-0.05502062360777863
368,juv_misd_count <= 0.00,-0.0421704403992437
575,0.00 < priors_count <= 2.00,-0.06855038679845372
575,juv_other_count <= 0.00,-0.055450618226286115
575,juv_misd_count <= 0.00,-0.05254534707960532
575,33.00 < age <= 44.00,-0.038670847621156065
575,juv_fel_count <= 0.00,-0.017889837433694246
451,priors_count > 5.00,0.12323167566373086
451,juv_other_count <= 0.00,-0.062361172379055585
451,age > 44.00,-0.061237731056787696
451,juv_misd_count <= 0.00,-0.04284792981925736
451,2.00 < decile_score <= 4.00,-0.037619954041338714
167,priors_count > 5.00,0.12824551189047426
167,age > 44.00,-0.06989905179393306
167,decile_score <= 2.00,-0.05886641397816116
167,juv_other_count <= 0.00,-0.05667923357633957
167,juv_misd_count <= 0.00,-0.044622292280793924
348,priors_count > 5.00,0.1315352226268257
348,age > 44.00,-0.07400546769289558
348,juv_misd_count <= 0.00,-0.060401513693768956
348,juv_other_count <= 0.00,-0.055360818591612
348,0.00 < race_encoded <= 2.00,-0.012949662876975377
440,priors_count > 5.00,0.13667098459319194
440,decile_score > 7.00,0.11091833211223433
440,juv_misd_count > 0.00,0.04542701543846204
440,juv_other_count > 0.00,0.043047191731938675
440,33.00 < age <= 44.00,-0.03249623069951408
589,age <= 26.00,0.11775255846731625
589,0.00 < priors_count <= 2.00,-0.07413485835805225
589,juv_misd_count <= 0.00,-0.06233819526395628
589,juv_other_count <= 0.00,-0.05493252609609574
589,2.00 < decile_score <= 4.00,-0.03437161372067047
220,0.00 < priors_count <= 2.00,-0.07263273195606265
220,juv_misd_count <= 0.00,-0.04735792457112032
220,juv_other_count <= 0.00,-0.03308327669301993
220,4.00 < decile_score <= 7.00,0.012135177898391103
220,race_encoded <= 0.00,0.011164555544482618
50,age <= 26.00,0.0834767723602534
50,priors_count <= 0.00,-0.06422459475695723
50,juv_other_count <= 0.00,-0.05413356760820864
50,juv_misd_count <= 0.00,-0.051243500030127745
50,4.00 < decile_score <= 7.00,0.018328050639358072
661,age <= 26.00,0.09441192635467029
661,0.00 < priors_count <= 2.00,-0.06855869329596544
661,decile_score <= 2.00,-0.05678624674787675
661,juv_other_count <= 0.00,-0.049574815062395465
661,juv_misd_count <= 0.00,-0.03473648142673525
132,0.00 < priors_count <= 2.00,-0.07372952518977907
132,juv_other_count <= 0.00,-0.05726237753181136
132,juv_misd_count <= 0.00,-0.04159191744523633
132,2.00 < decile_score <= 4.00,-0.04065658498735593
132,33.00 < age <= 44.00,-0.03388983602336089
17,0.00 < priors_count <= 2.00,-0.07619827272249366
17,age > 44.00,-0.06985209741967568
17,decile_score <= 2.00,-0.05758225354451973
17,juv_misd_count <= 0.00,-0.051834800878175366
17,juv_other_count <= 0.00,-0.042619340611857376
366,0.00 < priors_count <= 2.00,-0.08400571286642732
366,juv_misd_count <= 0.00,-0.05898559848493106
366,juv_other_count <= 0.00,-0.05414810082132412
366,33.00 < age <= 44.00,-0.04605437091397165
366,2.00 < decile_score <= 4.00,-0.04223540556213899
88,priors_count <= 0.00,-0.07057342508341088
88,juv_misd_count <= 0.00,-0.05522559345637988
88,juv_other_count <= 0.00,-0.04820647617588645
88,juv_fel_count <= 0.00,-0.0237667966306165
88,26.00 < age <= 33.00,0.011116810436407373
378,age <= 26.00,0.09234451590588998
378,juv_other_count > 0.00,0.07156081885493161
378,juv_misd_count <= 0.00,-0.042762674982854826
378,2.00 < priors_count <= 5.00,0.04260719612394103
378,4.00 < decile_score <= 7.00,0.011362802329569367
695,0.00 < priors_count <= 2.00,-0.08181514629934199
695,age > 44.00,-0.07026300233616559
695,decile_score <= 2.00,-0.06030249114143039
695,juv_other_count <= 0.00,-0.058141331369149396
695,juv_misd_count <= 0.00,-0.04667533286677732
409,age <= 26.00,0.08188705802896493
409,juv_misd_count <= 0.00,-0.057950238769268574
409,2.00 < priors_count <= 5.00,0.054904222234620347
409,juv_other_count <= 0.00,-0.050246423867384093
409,juv_fel_count <= 0.00,-0.01593898450566788
313,age <= 26.00,0.09225027213342361
313,2.00 < priors_count <= 5.00,0.05703560289583608
313,juv_other_count <= 0.00,-0.04882454351351499
313,juv_misd_count <= 0.00,-0.04537792294182462
313,4.00 < decile_score <= 7.00,0.015627203631054652
395,priors_count > 5.00,0.12406121918962637
395,decile_score > 7.00,0.09713108345496257
395,juv_misd_count <= 0.00,-0.05105134273625813
395,juv_other_count <= 0.00,-0.048338526228993435
395,33.00 < age <= 44.00,-0.03678344681641277
